aan,on
aanbieden,to offer
de aanbieding,the offer
aandoen,to put on
aangifte doen,to report
aanhebben,to have on
aankomen,to arrive
aantrekkelijk,attractive
de aardappel,the potato
het abonnement,the subscription
het accent,the accent
de accountant,the accountant
achter,behind
achternaam,last name
het adres,the address
afbreken,to break down
afgaan,to go off
afgelopen,past
afrekenen,to pay
afscheid nemen,to say goodbye
afsnijden,to cut off
de afspraak,the appointment
afspreken,to agree
de agenda,the agenda
ah,ah (an expression)
al lang,for a long time
allebei,both
alleen,alone
allemaal,everyone
allergisch,allergic
allerlei,all sorts of
alles,everything
als,if
alsjeblieft,please
alstublieft,please
altijd,always
alvast,in advance
ander(e),other
anders,otherwise
anders nog iets,anything else
de andijvie,endive
het antwoord,the answer
de apotheek,the pharmacy
de arm,the arm
de auto,the car
de automaat,the vending machine
de avond,the evening
het avondeten,the dinner
de baan,the job
de baas,the boss
het bad,the bath
de badkamer,the bathroom
de bagagedrager,the luggage rack
het bakje,the small container
de balie,the counter
het balkon,the balcony
de band,the band
bang,scared
de bank,the bank
de bankpas,the bank card
de bankrekening,the bank account
het bed,the bed
bedanken,to thank
bedankt,thank you
bedoelen,to mean
het bedrag,the amount
het bedrijf,the company
het been,the leg
beetje,a bit
het begin,the beginning
beginnen,to begin
begrijpen,to understand
begroeten,to greet
behalve,except for
beide,both
bekend,known
bekijken,to look at
belachelijk,ridiculous
belangrijk,important
bellen,to call
beneden,downstairs
de benedenwoning,the ground floor apartment
beoordelen,to assess
bepaald,specific
de berg,the mountain
beschrijven,to describe
beslissen,to decide
best,best
het bestek,the cutlery
bestellen,to order
betalen,to pay
betekenen,to mean
beter,better
beterschap,get well soon
de beurt,the turn
bevallen,to like
bezig,busy
het bezoek,the visit
bezoeken,to visit
de bibliotheek,the library
de biefstuk,the steak
het bier(tje),the beer
bij,at
het bijbaantje,the part-time job
bijna,almost
bijzonder,special
binnen,inside
binnenkomen,to come in
de bioscoop,the cinema
de bladzijde,the page
blauw,blue
blijven,to stay
de bloem,the flower
de bloemkool,the cauliflower
blokkeren,to block
blond,blonde
het boek,the book
de bon,the receipt
de bonbon,the bonbon
boodschappen doen,to go shopping
de boon (het boontje),the bean
de sperzieboon,the green bean
het bord(je),the plate
de bos,the forest
het bosje,the small forest
boven,above
de bovenwoning,the upstairs apartment
brengen,to bring
de brief,the letter
de bril,the glasses
de broek,the pants
de broer,the brother
het broodje,the sandwich
de buik,the belly
het buikspierkwartier,the ab workout
buiten,outside
het buitenland,abroad
de buitenlander,the foreigner
het bultje,the bump
het bureau,the desk
de buren,the neighbors
de bus,the bus
de buschauffeur,the bus driver
de buurman,the neighbor (male)
de buurt,the neighborhood
de buurvrouw,the neighbor (female)
het cadeau,the gift
het café,the cafe
